match_no,runs
1,1
2,23
3,13
4,12
5,1
6,9
7,34
8,0
9,21
10,3
11,10
12,38
13,3
14,11
15,50
16,2
17,21
18,54
19,21
20,21
21,32
22,63
23,15
24,9
25,10
26,25
27,4
28,26
29,0
30,15
